City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Boguchany,RU,58.3814,97.4531,282.62,95,100,2.83,overcast clouds
241,Assiniboia,CA,49.6334,-105.9845,293.05,40,0,7.2,clear sky
242,Elizabeth City,US,36.2946,-76.2511,305.16,74,20,3.09,few clouds
243,Houston,US,29.7633,-95.3633,307.68,66,40,1.79,scattered clouds
244,Natal,BR,-5.795,-35.2094,304.27,55,40,7.72,scattered clouds
245,Poya,NC,-21.35,165.15,294.43,92,6,2.0,clear sky
246,Dawlatabad,AF,36.4141,64.9053,303.71,16,0,2.8,clear sky
247,Khovu-Aksy,RU,51.1333,93.6,282.01,67,81,1.8,broken clouds
248,Sao Felix Do Xingu,BR,-6.6447,-51.995,307.63,32,29,2.03,scattered clouds
249,Novobirilyussy,RU,56.9514,90.6661,285.31,74,100,0.67,overcast clouds
250,San Angelo,US,31.4638,-100.437,308.09,32,0,4.12,clear sky
251,Khanpur,PK,28.6453,70.6567,309.43,35,55,4.31,broken clouds
252,Djambala,CG,-2.5447,14.7533,303.61,34,92,1.06,overcast clouds
253,Torbay,CA,47.6666,-52.7314,303.64,56,40,6.69,scattered clouds
254,Alice Springs,AU,-23.7,133.8833,278.9,61,0,2.06,clear sky
255,Kifri,IQ,34.6959,44.9661,316.79,12,0,7.19,clear sky
256,La Palma,US,33.8464,-118.0467,302.7,64,75,0.89,broken clouds
257,Clyde River,CA,70.4692,-68.5914,283.28,71,75,5.66,broken clouds
258,Campbeltown,GB,55.4258,-5.6076,289.16,67,20,8.23,few clouds
259,Sakaiminato,JP,35.55,133.2333,299.14,94,20,2.57,few clouds
260,Vestmannaeyjar,IS,63.4427,-20.2734,284.7,87,100,5.66,overcast clouds
261,Whitehorse,CA,60.7161,-135.0538,287.58,71,100,7.6,overcast clouds
262,Hamilton,US,39.1834,-84.5333,299.4,100,100,4.12,heavy intensity rain
263,Ribeira Grande,PT,38.5167,-28.7,299.37,73,20,2.57,few clouds
264,Kishtwar,IN,33.3167,75.7667,293.04,91,35,0.43,scattered clouds
265,Pestravka,RU,52.405,49.9583,297.67,42,33,3.62,scattered clouds
266,Fort Nelson,CA,58.8053,-122.7002,285.92,82,20,3.6,few clouds
267,Leningradskiy,RU,69.3833,178.4167,275.35,96,100,7.3,light rain
268,Teknaf,BD,20.8624,92.3058,300.2,88,91,4.02,overcast clouds
269,Port Lincoln,AU,-34.7333,135.8667,285.45,69,97,6.46,overcast clouds
270,Yanliang,CN,34.6592,109.2292,303.7,54,1,0.71,clear sky
271,Namatanai,PG,-3.6667,152.4333,298.82,80,100,2.15,overcast clouds
272,Akureyri,IS,65.6835,-18.0878,292.11,37,0,5.14,clear sky
273,Menongue,AO,-14.6585,17.691,301.58,14,36,4.09,scattered clouds
274,Hofn,IS,64.2539,-15.2082,287.16,58,0,3.09,clear sky
275,Cordoba,AR,-31.4135,-64.1811,293.38,35,20,7.72,few clouds
276,Kant,IN,27.8,79.8,304.68,60,91,2.16,overcast clouds
277,Pemberton,CA,50.3164,-122.8027,288.86,74,15,1.08,few clouds
278,Gazojak,TM,41.1875,61.4036,304.45,22,1,4.66,clear sky
279,Chaihe,CN,44.7667,129.7,292.23,91,65,1.95,broken clouds
280,Mogzon,RU,51.7435,111.9606,282.37,91,11,1.52,few clouds
281,Panzhihua,CN,26.5851,101.7128,296.06,86,62,0.21,light rain
282,Axim,GH,4.8699,-2.2405,298.95,62,12,4.41,few clouds
283,Comodoro Rivadavia,AR,-45.8667,-67.5,281.07,57,40,9.26,scattered clouds
284,Bijie,CN,27.3125,105.2942,291.86,92,43,0.85,scattered clouds
285,Nisia Floresta,BR,-6.0911,-35.2086,304.36,62,60,6.64,broken clouds
286,Aksarka,RU,66.5606,67.7975,290.41,70,100,5.16,overcast clouds
287,Dudinka,RU,69.4058,86.1778,285.2,83,25,2.72,scattered clouds
288,At-Bashi,KG,41.1702,75.8106,289.64,53,98,0.93,overcast clouds
289,Vostok,RU,46.4856,135.8833,291.04,99,100,1.96,overcast clouds
290,Namibe,AO,-15.1961,12.1522,291.76,76,11,4.51,few clouds
291,Saint-Philippe,RE,-21.3585,55.7679,293.92,75,44,5.73,scattered clouds
292,Surgut,RU,61.25,73.4167,291.25,88,40,1.0,scattered clouds
293,Vung Tau,VN,10.346,107.0843,299.89,83,100,5.0,overcast clouds
294,Nanortalik,GL,60.1432,-45.2371,280.74,92,100,2.91,light rain
295,Caravelas,BR,-17.7125,-39.2481,300.18,56,96,4.49,overcast clouds
296,Novikovo,RU,51.1537,37.8879,296.78,64,92,1.44,overcast clouds
297,Phonhong,LA,18.5007,102.4166,297.9,91,100,0.79,overcast clouds
298,Jishui,CN,33.7333,115.4,302.43,72,0,3.68,clear sky
299,Panaba,MX,21.2833,-88.2667,305.83,47,87,3.48,overcast clouds
300,Ust-Nera,RU,64.5667,143.2,288.27,83,32,2.06,scattered clouds
301,Thinadhoo,MV,0.5333,72.9333,301.02,72,100,5.2,overcast clouds
302,Purranque,CL,-40.9167,-73.1667,280.53,75,96,1.26,overcast clouds
303,Calvia,ES,39.5657,2.5062,307.82,67,0,2.12,clear sky
304,Antananarivo,MG,-18.9137,47.5361,287.13,82,20,4.12,few clouds
305,Serenje,ZM,-13.2325,30.2352,291.12,41,0,2.04,clear sky
306,Churapcha,RU,62.0025,132.4325,292.47,66,100,7.03,overcast clouds
307,Koungheul,SN,13.9833,-14.8,303.39,64,87,3.95,overcast clouds
308,La Reforma,MX,25.0833,-108.05,302.26,65,100,1.72,overcast clouds
309,Susanville,US,40.4163,-120.653,298.22,56,75,2.06,broken clouds
310,Prince Rupert,CA,54.3161,-130.3201,287.98,90,100,1.03,overcast clouds
311,Nome,US,64.5011,-165.4064,283.19,93,100,0.0,overcast clouds
312,Tarakan,ID,3.3,117.6333,300.42,77,38,1.32,scattered clouds
313,Yagoua,CM,10.3411,15.2329,302.35,59,100,1.79,overcast clouds
314,Carsamba,TR,41.1989,36.7219,300.81,78,75,2.06,broken clouds
315,Sur,OM,22.5667,59.5289,302.84,67,87,3.79,overcast clouds
316,La Oroya,PE,-11.5189,-75.8994,284.24,51,100,2.66,overcast clouds
317,Khangarh,PK,29.9173,71.1618,306.19,47,80,5.09,light rain
318,Corn Island,NI,12.1694,-83.0418,299.07,82,100,6.62,overcast clouds
319,Balakhta,RU,55.38,91.6,286.01,66,100,1.96,overcast clouds
320,Qui Nhon,VN,13.7667,109.2333,299.74,81,100,1.99,overcast clouds
321,Vargashi,RU,55.3556,65.8467,292.07,66,53,1.79,broken clouds
322,Necochea,AR,-38.5473,-58.7368,283.99,46,51,4.12,broken clouds
323,Chandler,US,33.3062,-111.8412,307.08,51,20,0.45,few clouds
324,Kuito,AO,-12.3833,16.9333,299.38,15,20,3.48,few clouds
325,Atambua,ID,-9.1061,124.8925,294.71,87,94,1.94,overcast clouds
326,Mahe,IN,11.7,75.5333,297.7,93,100,6.56,overcast clouds
327,Camopi,GF,3.1655,-52.3158,305.68,43,0,1.76,clear sky
328,Voskresenskoye,RU,56.8381,45.4317,295.1,72,87,1.68,overcast clouds
329,Cruzeiro Do Sul,BR,-29.5128,-51.9853,290.09,69,92,2.19,overcast clouds
330,Guaiuba,BR,-4.0397,-38.6372,303.05,62,6,4.18,clear sky
331,Hithadhoo,MV,-0.6,73.0833,301.24,70,100,4.26,overcast clouds
332,Iqaluit,CA,63.7506,-68.5145,276.87,93,100,2.68,overcast clouds
333,Bereda,ES,43.2686,-7.5406,292.82,94,98,4.53,overcast clouds
334,Laguna,US,38.421,-121.4238,295.31,70,75,5.66,broken clouds
335,Tautira,PF,-17.7333,-149.15,297.68,80,97,11.87,light rain
336,Acapulco,MX,16.8634,-99.8901,303.05,66,40,4.12,scattered clouds
337,Pacific Grove,US,36.6177,-121.9166,292.23,83,100,3.09,overcast clouds
338,San Policarpo,PH,12.1791,125.5072,299.03,87,100,4.67,overcast clouds
339,Lavumisa,SZ,-27.31,31.892,293.7,72,1,3.22,clear sky
340,Stanghelle,NO,60.5528,5.7357,288.66,76,90,2.28,overcast clouds
341,Licheng,CN,23.2955,113.8284,298.16,92,85,1.48,overcast clouds
342,Lazaro Cardenas,MX,17.9583,-102.2,301.08,75,44,0.85,scattered clouds
343,Oktyabrskiy,RU,54.4815,53.471,294.03,61,1,2.12,clear sky
344,Lompoc,US,34.6391,-120.4579,294.22,83,100,3.13,mist
345,Warkworth,NZ,-36.4,174.6667,282.65,86,19,1.17,few clouds
