City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,Turka,UA,74.14,clear sky,49.1541,23.0297,Мотель
387,Teguise,ES,77.22,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
388,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
389,Sao Joao Da Barra,BR,89.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
390,Chenghai,CN,78.71,scattered clouds,23.4632,116.768,Guangdong Hotel
391,Makakilo City,US,73.62,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
392,Plovdiv,BG,88.11,few clouds,42.15,24.75,Grand Hotel Plovdiv
394,Kondopoga,RU,78.48,clear sky,62.2057,34.2614,Karelia Hotel
396,Jaguariaiva,BR,72.43,broken clouds,-24.2511,-49.7058,San Juan Jaguariaíva
397,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
404,Sola,VU,80.15,few clouds,-13.8833,167.55,Leumerus Bungalows
405,Trincomalee,LK,80.89,light rain,8.5711,81.2335,Welcombe Hotel
406,Petatlan,MX,88.83,few clouds,17.5167,-101.2667,Hotel California Petatlán
408,Savonlinna,FI,75.25,clear sky,61.8699,28.88,Spahotel Casino
409,Kandrian,PG,76.24,overcast clouds,-6.2167,149.55,Kandrian Station
411,San Carlos,VE,86.54,broken clouds,9.6612,-68.5827,Hotel Paternopoli
412,San Ramon,US,76.6,clear sky,37.7799,-121.978,San Ramon Marriott
414,Nsanje,MW,71.65,clear sky,-16.92,35.262,Nsanje Discovery Lodge
415,Yingcheng,CN,81.75,scattered clouds,30.95,113.55,Yingcheng Hotel
416,Tateyama,JP,73.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
426,Dangriga,BZ,82.2,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
427,Ratnagiri,IN,77.65,overcast clouds,16.9833,73.3,Hotel Landmark
429,Havre-Saint-Pierre,CA,77.36,broken clouds,50.2334,-63.5986,Auberge Niapiskau
431,Inuvik,CA,74.26,few clouds,68.3499,-133.7218,Nova Inn Inuvik
432,Ponta Delgada,PT,75.92,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
433,Maki,JP,74.89,overcast clouds,37.75,138.8833,Iwamuro Onsen Fujiya
436,Auki,SB,76.05,scattered clouds,-8.7676,160.7034,Auki Motel
437,Nagato,JP,80.01,scattered clouds,34.3833,131.2,いそう庵
438,Tukrah,LY,80.64,clear sky,32.5341,20.5791,Lagrota restaurant
439,Lamu,KE,75.42,clear sky,-2.2717,40.902,Lamu House
440,Spokane,US,71.06,clear sky,47.6166,-117.3677,Madison Inn by Riversage
447,Barcelos,PT,84.92,scattered clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
450,Gorontalo,ID,74.62,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
452,Takoradi,GH,75.09,scattered clouds,4.8845,-1.7554,Raybow International Hotel
